start_time_min,end_time_min,dosing_type,dose_amount,infusion_rate,amplitude,frequency_per_min,mean_rate,custom_function,custom_params
6610,6640,continuous,0,0.8864211743729229,0,0,0,,
6640,6670,continuous,0,0.8750001308457884,0,0,0,,
6670,6700,continuous,0,0.8635790873186533,0,0,0,,
6700,6730,continuous,0,0.8523534610127792,0,0,0,,
6730,6760,continuous,0,0.8415153255065912,0,0,0,,
6760,6790,continuous,0,0.8312501243034984,0,0,0,,
6790,6820,continuous,0,0.8217334978421381,0,0,0,,
6820,6850,continuous,0,0.8131282782397706,0,0,0,,
6850,6880,continuous,0,0.8055817031896108,0,0,0,,
6880,6910,continuous,0,0.7992228966830719,0,0,0,,
6910,6940,continuous,0,0.794160659662476,0,0,0,,
6940,6970,continuous,0,0.790481608406762,0,0,0,,
6970,7000,continuous,0,0.7882486925029412,0,0,0,,
7000,7030,continuous,0,0.7875001177612092,0,0,0,,
7030,7060,continuous,0,0.7882486925029412,0,0,0,,
7060,7090,continuous,0,0.7904816084067618,0,0,0,,
7090,7120,continuous,0,0.7941606596624758,0,0,0,,
7120,7150,continuous,0,0.799222896683072,0,0,0,,
7150,7180,continuous,0,0.8055817031896104,0,0,0,,
7180,7210,continuous,0,0.8131282782397705,0,0,0,,
7210,7240,continuous,0,0.821733497842138,0,0,0,,
7240,7270,continuous,0,0.8312501243034985,0,0,0,,
7270,7300,continuous,0,0.8415153255065908,0,0,0,,
7300,7330,continuous,0,0.8523534610127793,0,0,0,,
7330,7360,continuous,0,0.8635790873186531,0,0,0,,
7360,7390,continuous,0,0.8750001308457879,0,0,0,,
7390,7420,continuous,0,0.8864211743729224,0,0,0,,
7420,7450,continuous,0,0.8976468006787968,0,0,0,,
7450,7480,continuous,0,0.9084849361849847,0,0,0,,
7480,7510,continuous,0,0.9187501373880772,0,0,0,,
7510,7540,continuous,0,0.9282667638494378,0,0,0,,
7540,7570,continuous,0,0.9368719834518054,0,0,0,,
7570,7600,continuous,0,0.9444185585019653,0,0,0,,
7600,7630,continuous,0,0.9507773650085038,0,0,0,,
7630,7660,continuous,0,0.9558396020291002,0,0,0,,
7660,7690,continuous,0,0.959518653284814,0,0,0,,
7690,7720,continuous,0,0.9617515691886348,0,0,0,,
7720,7750,continuous,0,0.9625001439303668,0,0,0,,
7750,7780,continuous,0,0.9617515691886348,0,0,0,,
7780,7810,continuous,0,0.959518653284814,0,0,0,,
7810,7840,continuous,0,0.9558396020291001,0,0,0,,
7840,7870,continuous,0,0.9507773650085042,0,0,0,,
7870,7900,continuous,0,0.9444185585019653,0,0,0,,
7900,7930,continuous,0,0.9368719834518054,0,0,0,,
7930,7960,continuous,0,0.9282667638494383,0,0,0,,
7960,7990,continuous,0,0.9187501373880774,0,0,0,,
7990,8020,continuous,0,0.9084849361849852,0,0,0,,
8020,8050,continuous,0,0.8976468006787967,0,0,0,,
8050,8080,continuous,0,0.8864211743729229,0,0,0,,
8080,8110,continuous,0,0.8750001308457878,0,0,0,,
8110,8140,continuous,0,0.8635790873186533,0,0,0,,
8140,8170,continuous,0,0.8523534610127795,0,0,0,,
8170,8200,continuous,0,0.841515325506591,0,0,0,,
