Time_min,Time_hr,DHFU_uM,FBAL_uM,Excreted_5FU_umol,Excreted_FBAL_umol,Excreted_Metabolites_umol
392,6.53333333333333,0,0,0,0,0
394,6.56666666666667,0,0,0,0,0
396,6.6,0,0,0,0,0
398,6.63333333333333,0,0,0,0,0
400,6.66666666666667,0,0,0,0,0
402,6.7,0,0,0,0,0
404,6.73333333333333,0,0,0,0,0
406,6.76666666666667,0,0,0,0,0
408,6.8,0,0,0,0,0
410,6.83333333333333,0,0,0,0,0
412,6.86666666666667,0,0,0,0,0
414,6.9,0,0,0,0,0
416,6.93333333333333,0,0,0,0,0
418,6.96666666666667,0,0,0,0,0
420,7,0,0,0,0,0
422,7.03333333333333,0,0,0,0,0
424,7.06666666666667,0,0,0,0,0
426,7.1,0,0,0,0,0
428,7.13333333333333,0,0,0,0,0
430,7.16666666666667,0,0,0,0,0
432,7.2,0,0,0,0,0
434,7.23333333333333,0,0,0,0,0
436,7.26666666666667,0,0,0,0,0
438,7.3,0,0,0,0,0
440,7.33333333333333,0,0,0,0,0
442,7.36666666666667,0,0,0,0,0
444,7.4,0,0,0,0,0
446,7.43333333333333,0,0,0,0,0
448,7.46666666666667,0,0,0,0,0
450,7.5,0,0,0,0,0
452,7.53333333333333,0,0,0,0,0
454,7.56666666666667,0,0,0,0,0
456,7.6,0,0,0,0,0
458,7.63333333333333,0,0,0,0,0
460,7.66666666666667,0,0,0,0,0
462,7.7,0,0,0,0,0
464,7.73333333333333,0,0,0,0,0
466,7.76666666666667,0,0,0,0,0
468,7.8,0,0,0,0,0
470,7.83333333333333,0,0,0,0,0
472,7.86666666666667,0,0,0,0,0
474,7.9,0,0,0,0,0
476,7.93333333333333,0,0,0,0,0
478,7.96666666666667,0,0,0,0,0
480,8,0,0,0,0,0
482,8.03333333333333,0,0,0,0,0
484,8.06666666666667,0,0,0,0,0
486,8.1,0,0,0,0,0
488,8.13333333333333,0,0,0,0,0
490,8.16666666666667,0,0,0,0,0
492,8.2,0,0,0,0,0
494,8.23333333333333,0,0,0,0,0
496,8.26666666666667,0,0,0,0,0
498,8.3,0,0,0,0,0
500,8.33333333333333,0,0,0,0,0
502,8.36666666666667,0,0,0,0,0
504,8.4,0,0,0,0,0
506,8.43333333333333,0,0,0,0,0
508,8.46666666666667,0,0,0,0,0
510,8.5,0,0,0,0,0
512,8.53333333333333,0,0,0,0,0
514,8.56666666666667,0,0,0,0,0
516,8.6,0,0,0,0,0
518,8.63333333333333,0,0,0,0,0
520,8.66666666666667,0,0,0,0,0
522,8.7,0,0,0,0,0
524,8.73333333333333,0,0,0,0,0
526,8.76666666666667,0,0,0,0,0
528,8.8,0,0,0,0,0
530,8.83333333333333,0,0,0,0,0
532,8.86666666666667,0,0,0,0,0
534,8.9,0,0,0,0,0
536,8.93333333333333,0,0,0,0,0
538,8.96666666666667,0,0,0,0,0
540,9,0,0,0,0,0
542,9.03333333333333,0,0,0,0,0
544,9.06666666666667,0,0,0,0,0
546,9.1,0,0,0,0,0
548,9.13333333333333,0,0,0,0,0
550,9.16666666666667,0,0,0,0,0
552,9.2,0,0,0,0,0
554,9.23333333333333,0,0,0,0,0
556,9.26666666666667,0,0,0,0,0
558,9.3,0,0,0,0,0
560,9.33333333333333,0,0,0,0,0
562,9.36666666666667,0,0,0,0,0
564,9.4,0,0,0,0,0
566,9.43333333333333,0,0,0,0,0
568,9.46666666666667,0,0,0,0,0
570,9.5,0,0,0,0,0
572,9.53333333333333,0,0,0,0,0
574,9.56666666666667,0,0,0,0,0
576,9.6,0,0,0,0,0
578,9.63333333333333,0,0,0,0,0
580,9.66666666666667,0,0,0,0,0
582,9.7,0,0,0,0,0
584,9.73333333333333,0,0,0,0,0
586,9.76666666666667,0,0,0,0,0
588,9.8,0,0,0,0,0
590,9.83333333333333,0,0,0,0,0
592,9.86666666666667,0,0,0,0,0
594,9.9,0,0,0,0,0
596,9.93333333333333,0,0,0,0,0
598,9.96666666666667,0,0,0,0,0
600,10,0,0,0,0,0
602,10.0333333333333,0,0,0,0,0
604,10.0666666666667,0,0,0,0,0
606,10.1,0,0,0,0,0
608,10.1333333333333,0,0,0,0,0
610,10.1666666666667,0,0,0,0,0
612,10.2,0,0,0,0,0
614,10.2333333333333,0,0,0,0,0
616,10.2666666666667,0,0,0,0,0
618,10.3,0,0,0,0,0
620,10.3333333333333,0,0,0,0,0
622,10.3666666666667,0,0,0,0,0
624,10.4,0,0,0,0,0
626,10.4333333333333,0,0,0,0,0
628,10.4666666666667,0,0,0,0,0
630,10.5,0,0,0,0,0
632,10.5333333333333,0,0,0,0,0
634,10.5666666666667,0,0,0,0,0
636,10.6,0,0,0,0,0
638,10.6333333333333,0,0,0,0,0
640,10.6666666666667,0,0,0,0,0
642,10.7,0,0,0,0,0
644,10.7333333333333,0,0,0,0,0
646,10.7666666666667,0,0,0,0,0
648,10.8,0,0,0,0,0
650,10.8333333333333,0,0,0,0,0
652,10.8666666666667,0,0,0,0,0
654,10.9,0,0,0,0,0
656,10.9333333333333,0,0,0,0,0
658,10.9666666666667,0,0,0,0,0
660,11,0,0,0,0,0
662,11.0333333333333,0,0,0,0,0
664,11.0666666666667,0,0,0,0,0
666,11.1,0,0,0,0,0
668,11.1333333333333,0,0,0,0,0
670,11.1666666666667,0,0,0,0,0
672,11.2,0,0,0,0,0
674,11.2333333333333,0,0,0,0,0
676,11.2666666666667,0,0,0,0,0
678,11.3,0,0,0,0,0
680,11.3333333333333,0,0,0,0,0
682,11.3666666666667,0,0,0,0,0
684,11.4,0,0,0,0,0
686,11.4333333333333,0,0,0,0,0
688,11.4666666666667,0,0,0,0,0
690,11.5,0,0,0,0,0
692,11.5333333333333,0,0,0,0,0
694,11.5666666666667,0,0,0,0,0
696,11.6,0,0,0,0,0
698,11.6333333333333,0,0,0,0,0
700,11.6666666666667,0,0,0,0,0
702,11.7,0,0,0,0,0
704,11.7333333333333,0,0,0,0,0
706,11.7666666666667,0,0,0,0,0
708,11.8,0,0,0,0,0
710,11.8333333333333,0,0,0,0,0
712,11.8666666666667,0,0,0,0,0
714,11.9,0,0,0,0,0
716,11.9333333333333,0,0,0,0,0
718,11.9666666666667,0,0,0,0,0
720,12,0,0,0,0,0
722,12.0333333333333,0,0,0,0,0
724,12.0666666666667,0,0,0,0,0
726,12.1,0,0,0,0,0
728,12.1333333333333,0,0,0,0,0
730,12.1666666666667,0,0,0,0,0
732,12.2,0,0,0,0,0
734,12.2333333333333,0,0,0,0,0
736,12.2666666666667,0,0,0,0,0
738,12.3,0,0,0,0,0
740,12.3333333333333,0,0,0,0,0
742,12.3666666666667,0,0,0,0,0
744,12.4,0,0,0,0,0
746,12.4333333333333,0,0,0,0,0
748,12.4666666666667,0,0,0,0,0
750,12.5,0,0,0,0,0
752,12.5333333333333,0,0,0,0,0
754,12.5666666666667,0,0,0,0,0
756,12.6,0,0,0,0,0
758,12.6333333333333,0,0,0,0,0
760,12.6666666666667,0,0,0,0,0
762,12.7,0,0,0,0,0
764,12.7333333333333,0,0,0,0,0
766,12.7666666666667,0,0,0,0,0
768,12.8,0,0,0,0,0
770,12.8333333333333,0,0,0,0,0
772,12.8666666666667,0,0,0,0,0
774,12.9,0,0,0,0,0
776,12.9333333333333,0,0,0,0,0
778,12.9666666666667,0,0,0,0,0
780,13,0,0,0,0,0
782,13.0333333333333,0,0,0,0,0
784,13.0666666666667,0,0,0,0,0
786,13.1,0,0,0,0,0
788,13.1333333333333,0,0,0,0,0
790,13.1666666666667,0,0,0,0,0
792,13.2,0,0,0,0,0
794,13.2333333333333,0,0,0,0,0
796,13.2666666666667,0,0,0,0,0
798,13.3,0,0,0,0,0
800,13.3333333333333,0,0,0,0,0
802,13.3666666666667,0,0,0,0,0
804,13.4,0,0,0,0,0
806,13.4333333333333,0,0,0,0,0
808,13.4666666666667,0,0,0,0,0
810,13.5,0,0,0,0,0
812,13.5333333333333,0,0,0,0,0
814,13.5666666666667,0,0,0,0,0
816,13.6,0,0,0,0,0
818,13.6333333333333,0,0,0,0,0
820,13.6666666666667,0,0,0,0,0
822,13.7,0,0,0,0,0
824,13.7333333333333,0,0,0,0,0
826,13.7666666666667,0,0,0,0,0
828,13.8,0,0,0,0,0
830,13.8333333333333,0,0,0,0,0
832,13.8666666666667,0,0,0,0,0
834,13.9,0,0,0,0,0
836,13.9333333333333,0,0,0,0,0
838,13.9666666666667,0,0,0,0,0
840,14,0,0,0,0,0
842,14.0333333333333,0,0,0,0,0
