Time_min,Time_hr,Systemic_FdUMP_uM,Systemic_FdUTP_uM,Systemic_FUTP_uM,Tumor_FdUMP_uM,Tumor_FdUTP_uM,Tumor_FUTP_uM
3608.2,60.1366666666667,7.77658684736582,4.89536179634404,22.9510654526951,0.577943954394327,0.215954257961041,3.08415774330122
3608.4,60.14,7.77767485237339,4.89523166074776,22.9487712293562,0.577924721727104,0.215947739832854,3.08364559077688
3608.6,60.1433333333333,7.77876172069647,4.89510162757543,22.9464793346193,0.577905504851882,0.215941226824982,3.08313388745151
3608.8,60.1466666666667,7.77984745155526,4.89497169686049,22.9441897661364,0.577886303764945,0.215934718938771,3.08262263294149
3609,60.15,7.78093204417086,4.89484186863634,22.9419025215625,0.577867118462593,0.215928216175564,3.0821118268636
3609.2,60.1533333333333,7.7820154977653,4.89471214293633,22.9396175985558,0.577847948941147,0.215921718536702,3.08160146883499
3609.4,60.1566666666667,7.78309781156151,4.89458251979372,22.9373349947776,0.577828795196942,0.215915226023527,3.08109155847325
3609.6,60.16,7.78417898478331,4.89445299924173,22.9350547078922,0.577809657226335,0.215908738637375,3.08058209539631
3609.8,60.1633333333333,7.78525901665546,4.89432358131352,22.9327767355673,0.577790535025697,0.215902256379582,3.08007307922253
3610,60.1666666666667,7.78633790640359,4.89419426604216,22.9305010754734,0.577771428591418,0.215895779251483,3.07956450957064
3610.2,60.17,7.78741565325427,4.89406505346069,22.9282277252843,0.577752337919907,0.215889307254409,3.07905638605977
3610.4,60.1733333333333,7.78849225643495,4.89393594360208,22.9259566826767,0.577733263007588,0.215882840389691,3.07854870830945
3610.6,60.1766666666667,7.78956771517402,4.89380693649923,22.9236879453305,0.577714203850905,0.215876378658655,3.07804147593959
3610.8,60.18,7.79064202870074,4.89367803218499,22.9214215109288,0.577695160446316,0.215869922062629,3.07753468857048
3611,60.1833333333333,7.79171519624532,4.89354923069213,22.9191573771575,0.577676132790299,0.215863470602936,3.07702834582281
3611.2,60.1866666666667,7.79278721703884,4.89342053205339,22.916895541706,0.577657120879348,0.215857024280899,3.07652244731767
3611.4,60.19,7.79385809031332,4.89329193630143,22.9146360022663,0.577638124709976,0.215850583097837,3.07601699267652
3611.6,60.1933333333333,7.79492781530168,4.89316344346884,22.9123787565338,0.577619144278711,0.215844147055069,3.07551198152123
3611.8,60.1966666666667,7.79599639123772,4.89303505358818,22.9101238022069,0.577600179582098,0.215837716153911,3.07500741347403
3612,60.2,7.79706381735621,4.89290676669191,22.9078711369869,0.5775812306167,0.215831290395677,3.07450328815755
3612.2,60.2033333333333,7.79813009289276,4.89277858281247,22.9056207585784,0.577562297379097,0.21582486978168,3.07399960519483
3612.4,60.2066666666667,7.79919521708395,4.8926505019822,22.9033726646888,0.577543379865885,0.215818454313229,3.07349636420925
3612.6,60.21,7.80025918916724,4.89252252423343,22.9011268530289,0.577524478073678,0.215812043991634,3.07299356482463
3612.8,60.2133333333333,7.801322008381,4.89239464959837,22.8988833213122,0.577505591999105,0.215805638818201,3.07249120666513
3613,60.2166666666667,7.80238367396452,4.89226687810923,22.8966420672553,0.577486721638813,0.215799238794234,3.07198928935531
3613.2,60.22,7.80344418515799,4.89213920979811,22.8944030885781,0.577467866989465,0.215792843921036,3.07148781252014
3613.4,60.2233333333333,7.80450354120253,4.89201164469708,22.8921663830032,0.577449028047741,0.215786454199908,3.07098677578494
3613.6,60.2266666666667,7.80556174134015,4.89188418283815,22.8899319482564,0.577430204810336,0.215780069632148,3.07048617877542
3613.8,60.23,7.80661878481379,4.89175682425325,22.8876997820666,0.577411397273965,0.215773690219053,3.06998602111771
3614,60.2333333333333,7.80767467086728,4.89162956897428,22.8854698821655,0.577392605435354,0.215767315961918,3.06948630243827
3614.2,60.2366666666667,7.80872939874538,4.89150241703305,22.883242246288,0.577373829291251,0.215760946862035,3.06898702236398
3614.4,60.24,7.80978296769375,4.89137536846135,22.881016872172,0.577355068838416,0.215754582920697,3.06848818052209
3614.6,60.2433333333333,7.81083537695899,4.89124842329086,22.8787937575583,0.577336324073626,0.215748224139191,3.06798977654023
3614.8,60.2466666666667,7.81188662578856,4.89112158155325,22.8765729001908,0.577317594993676,0.215741870518805,3.06749181004643
3615,60.25,7.81293671343089,4.89099484328011,22.8743542978163,0.577298881595376,0.215735522060825,3.06699428066907
3615.2,60.2533333333333,7.81398563913529,4.89086820850297,22.8721379481847,0.577280183875551,0.215729178766533,3.06649718803694
3615.4,60.2566666666667,7.81503340215199,4.89074167725331,22.8699238490489,0.577261501831042,0.21572284063721,3.0660005317792
3615.6,60.26,7.81608000173212,4.89061524956253,22.8677119981648,0.577242835458708,0.215716507674137,3.06550431152539
3615.8,60.2633333333333,7.81712543712776,4.89048892546201,22.8655023932911,0.577224184755423,0.215710179878591,3.06500852690542
3616,60.2666666666667,7.81816970759187,4.89036270498304,22.8632950321897,0.577205549718074,0.215703857251847,3.0645131775496
3616.2,60.27,7.81921281237833,4.89023658815687,22.8610899126254,0.577186930343568,0.215697539795179,3.06401826308861
3616.4,60.2733333333333,7.82025475074196,4.89011057501468,22.858887032366,0.577168326628824,0.215691227509859,3.06352378315349
3616.6,60.2766666666667,7.82129552193845,4.88998466558761,22.8566863891821,0.57714973857078,0.215684920397157,3.0630297373757
3616.8,60.28,7.82233512522444,4.88985885990672,22.8544879808475,0.577131166166385,0.215678618458341,3.06253612538704
3617,60.2833333333333,7.82337355985748,4.88973315800303,22.8522918051389,0.577112609412609,0.215672321694677,3.06204294681971
3617.2,60.2866666666667,7.82441082509603,4.8896075599075,22.8500978598359,0.577094068306433,0.215666030107429,3.06155020130627
3617.4,60.29,7.82544692019945,4.88948206565103,22.847906142721,0.577075542844855,0.21565974369786,3.06105788847967
